Form Name,Form Header or Image File  ,Font Color,Execute After Data Record Deletion  
INPROMANUPROTL,Print Manual QM-Production Protocol  ,,
INPROMIT,Work Order User  ,,
INPRONETTO,Net Requirement Calculation,,
INPRONETTOART,Control Supply and Demand,,
INPROPANZ,Production Planning,,
INPROPANZAUF,Production Plan  ,,
INPROPJOB2,Start/Stop Production Planning Process,,
INPROPLAN1,Production Planning  ,,
INPROPLANDR,Print Production Plan,,
INPROPLANDYN,Graphic Production Planning,,
INPROPRIO,Production Sequence  ,,
INPROPRIONEXT,Next Work Order  ,8 - black,
INPROPRIOVERW,Print Work Order  ,,
INPROPROT,Production Log  ,,
INPROPROT1,Manufacturing Log  ,,
INPROPSTA,Display Efficiency,,
INPROSTART,Enter Production Start / PDA  ,,
INPROVRE,Commission Reference By Order Date,,
INPROVRE2,Commission Reference By Delivery,,
INPROVVERM,3rd Party Commission Reference,,
INPSSAMMEL,Print Multiple Labels,,
INPSSAMMEL1,Multiple Print By Item No.,,
INPurchasePlanPrint,Purchase Planning Report,,
INQANDAQ,Print Questions and Answers,,
INQANDAS,Search Questions and Answers,,
INQMAUFG,Quality Control,,
INQMRANK,QC Point Ranking,,
INRAHMEN1,Planned Order Summary,,
INREBUCHDR,Print Sales Invoice Ledger,,
INRECH,Print Invoices,,
INRECH1,Open Sales Order and Order Process,,
INRECHKUN,Print All Customer Invoices,,
INRECHSAMMEL,Print Customer Invoices (Accumulative Print),,
INRECWO,Work Order Receipt,,
INREPLDATA1,Result of Rule Processing  ,,
INREPLDEMAND,Create Demands From Replenishment  ,,
INREPLRULE1,Start Rule Processing,,
INREPLRULEINFO,Show Rule Types  ,,
INRESET,Data Reset,,
INRMADATUM,Move To Return Stock Location ,,
INRMADATUM1,Move To Return Stock Location ,,
INRMALIEF,Return List To Supplier ,,
INRMALIEF1,Return List For Supplier ,,
INROUTINE,Routine Activity Log,,
INSALESPRICE,Price Request  ,,
INSAPSD,SAP Invoice File ,,
INSHIPINFOALL,Allocating Orders - Imports,,
INSHIPNO,Show Imported Orders,,
INSHOP,In Shop Layout,8 - black,
INSMSSEND,Select EDI Export  ,,
INSNAUF,Edit Serial No. In Orders,,
INSTAABC,ABC-Analysis For Turnover    ,,
INSTAABCMENGE,ABC-Analysis For Quantity  ,,
INSTAANFR,Inquiry Statistics  ,,
INSTAART,Item Sell (one Year),8 - black,
INSTAEAN,Item Sales UPC  ,8 - black,
INSTAHITART,Item Hit List (Quantity),,
INSTAHITARTU,Item Hit List (Sales),,
INSTAHITKM,Customer Hit List (Quantity),,
INSTAHITKU,Customer Hit List (Sales),,
INSTAHITKUM,Display Hit List by Quantity,,
INSTAHITLIEFM,Supplier Hit List (Quantity),,
INSTAHITLIEFU,Supplier Hit List (Sales),,
INSTAHITVKU,Sellers Hit List (Sales),,
INSTAHITWGRM,Item Category Hit List (Quantity),,
INSTAHITWGRU,Item Category Hit List (Sales),,
INSTARKAR,Complaints By Item  ,,
INSTARKKD,Complaints By Customers,,
INSTARKLI,Complaints By Suppliers,,
INSTARKLIST,Complaint Statistics  ,,
INSTARKMI,Complaints By Employees,,
INSTARKPR,Complaints By Projects  ,,
INSTARKVE,Complaints By Sales,,
INSTARKWG,Complaints By Item Group,,
INSTATEIL,Search For Items in Production Orders,8 - black,
INSTATSERV,Status Open Services  ,,
INSTATSERV1,Completed Services Statistics,,
INSTATSERVUEB,Open Services Summary ,,
INSTATSERVUEB1,Selected Services  ,,
INSTATSERVUEB2,Selected Services  ,,
INSTAUMAA,Item Type Statistics,,
INSTAUMAR,Item Statistics,,
INSTAUMGE,Area Statistics,,
INSTAUMGG,Total Summary (diagram),,
INSTAUMKD,Customers Sales  ,,
INSTAUMLI,Supplier Sales,,
INSTAUMPJ,Project Revenue  ,,
INSTAUMPJA,Project Revenue  ,,
INSTAUMPJL,Project Process ,,
INSTAUMWG,Item Category Statistics,,
INSTAW,Item Group Sale  ,8 - black,
INSUCH,Search Within Customers/Suppliers/Marketing,,
INTAGES,Process Daily File,,
INTELEF,TEST FORMULA Free Fields  ,,
INTELEIMPORT,Import Telephone Files  ,,
INTIME,Production Overview,,
INTIMEW,Production Weekly Review ,,
INTOUR1,Plan Delivery Traffic,,
INTOURCHART,Graphic Traffic Planning (Gantt-Chart),,
INTOURGRAPH,Graphic Traffic Planning  ,,
INTOURGRAPHD,Graphic Traffic Planning  ,,
INTOURPACK,Edit Packing By Route,,
INTOURSTAPEL,Express Route Planning,,
INTRAEINL,Edit Intrastat-No.,,
INTRANSFER,InterWarehouse Transfer,,
INTRANSITCHECK,Show Items In Transit,,
INTRSPKLEB,Print Packing Label,,
INUEBER,Overdue Confirmation/Incoming Goods/Delivery,,
INULFORM,UL / Wholesale America Formula Fields  ,8 - black,
INULORDER,Create Purchase Orders,,
INULREPORT,Show Order Report,,
INULREPORT1,Show P.O. Releases,8 - black,
INULRUN,Start INULRUN  ,,
INVKVWDR,Advertising Campaign Analysis ,,
INVKVWSUCH,Advertising Report,,
INVOICEPICK,Main Assignment Screen ,,
INVOLABOR,show Voice Control History Labor Summary,,
INVOSIGNOFF,Voice Control Man. Sign Off,,
INVOSIGNOFF2,Sign On Screen,,
INVOSTART,Launch Voice Controll Process ,,
INWAUSAUFKL,Print Goods Dispatched Stickers  ,,
INWEADJUST,Stock Adjustments,,
INWEAENDER,Quantity Change ,,
INWEAUFPUM,Item / Material Movement Each Order,,
INWEAUFVORA,Preliminary Entry Of Goods Receipt  ,,
INWEAUFVORAP,Preliminary Entry Of Goods Receipt  ,,
INWEFEHL,Missing Goods Received Numbers ,,
INWEFERTUM,Item / Material Movement For Production,,
INWEFREI,Received Without Orders   ,,
INWEINBES,Create Stock from Barcode File,,
INWEINCYCLEL,Create Counting List For Cycle Counting,,
INWEINKOM,Import Data From Barcode Reader,,
INWEINRUECK,Update Stock from Stocktake ,,
INWEINRUECKK,Readjustment After Qty Generation  ,,
INWEINV,Create Stocktake,,
INWEINV0,Edit Stocktaking,,
INWEINV1,Change Stocktaking Data,,
INWEINVBW,Inventory Evaluation Run,,
INWEINVBackUp,Create Stocktaking List,,
INWEINVCYCD,Print Counting List Cycle Counting,,
INWEINVD,Perform Stocktake,,
INWEINVDIF,Print Stocktaking Dif. List,,
INWEINVDS,Print Stocktaking Total List,,
INWEINVK,Delete Stocktaking List,,
INWEINVZUFALL,Random Inventory  ,,
INWERBADRB,Marketing Serial Letters,,
INWERBADRCOPY,Copy Advertising Addresses  ,,
INWERBADRKL,Marketing Address Labels,,
INWERBADRKL2,Drucken Serienbriefe,,
INWERBADRSUCH,Search For Advertising Addresses,,
INWERBAKTIV,Analysis after OP Category,,
INWERBBANZ,Process Membership ,,
INWERBBRIEF,Create Manual Letters ,,
INWERBEC,Addresses Without Country  ,,
INWERBEZ,Addresses Without ZIP Code  ,,
INWERBKONVB,Edit Telephone And Visitor List  ,,
INWERBKONVB1,Contact Working-On List  ,,
INWERBKONVOR1,Print Form Letters  ,,
INWERBL1,Marketing Address List,,
INWERBSUCHK,Search Advertising Contacts  ,,
INWERBWERT1,Print Address List by Location,,
INWERBWERT2,Print Sales Ranking by Location,,
INWERBWERT3,Print Address By Employee,,
INWERBWERT4,Print Ranking by Employee,,
INWERBWERT5,Print Marketing Statistics By Employee,,
INWERBWERT6,Print Marketing List By Location,,
INWERBWERT7,Print Working Hours By Employee,,
INWESCHNELLPF,Control Received Items Fast Input ,,
INWESCHNELLPF1,Receive Item At Gate,,
INWESHIST,Serial No History   ,,
INWEUM,Print Stock Adjustments,8 - black,
INWEUMDR,Print Goods Relocation Slip  ,,
INWEVERFALL,Control Expiration Date,,
INWF50,Release Orders  ,,
INWFLIST,Edit Workflow  ,,
INWORKPL,Print Work Material and Time Lists,,
INWVERZ,Marketing Directory,,
INXAUF,Restore Deleted Jobs ,,
INYMNEW,Copy Company Default  ,,
INZAHLUNG,Payment Incoming Invoices,,
INZAHLUNG1,Edit Incoming Customer Payment,,
INZOLL,Create Manual Customs Declaration  ,,
INZOLLAUTO,Create Automatic Customs Declarations ,,
INZOLLFILE,Edit Customs File ,,
LWDisplayDCMQueue,DCM Outstanding Queue,,
LWRunDCMManager,,,
REP,Report,,
REPBatchLinePreview,Batch Line Preview,,
REPChequeCopy,Copy Cheque,,
REPCopy,Copy Report,,
REPDrill,Report Details,,
REPLanguage,Edit Report Translations,,
REPLog,Reporting Log,,
REPRUN9617301,Ledger Trial Balance,,
REPReportRun,Run Report,,
REPRunFromMenu,Run Report from Alphalinc Menu,,
REPViewCopy,Copy View Definition,,
REPViewCreateAll,Recreate Views,,
REPViewQuery,View Query,,
SALCSTCusOrder,Customer Order,,
SALCSTLogon,Logon,,
SALCSTTemplateCopy,Copy Template,,
SALCompile,Compile Classes,,
SALDCMDataLoad,Data Loading,,
SALFunctionCalls,Function Calls,,
SALHelpText,Help Text,,
SALMenuMove,Move Sales Menu,,
SALPOSStart,POS Application,,
SALPhoneBookLoad,Phone Book,,
SALProductSearch,Product Search,,
SALRuleCompare,Compare Rule definitions at different locations,,
SALTransationRemove,Remove Transactions,,
SCHTEST,,,
SRMan,,,
SRT,,,
SRTEST5,,,
STKBarcodePrint,Print Labels,,
STKHelpText,Show Help Text,,
TERMIN,Appointments And Tasks,,
TERMIN2,group member,,
TERMINBEST,Picklist  ,8 - black,
TERMINFORT,Edit Regular Appointments,,
TERMING,appointments and tasks,,
TERMINGW,appointments and tasks,,
TERMINGWR,appointments and tasks,,
TERMINM,monthly schedule,,
TERMINN,available dates,,
TERMINPLAN1,Check Availability Of Time Slot      ,,
TERMINPLAN2,Picklist  ,8 - black,
TERMINRB,appointments and tasks,,
TERMINS,search for available dates,,
TERMINT,daily schedule,,
TERMINW,weekly schedule,,
TEST,,,
TEST3,,,
TEST4,,,
TEST999,Test  ,,
TSBabelFishTranslation,Babel Fish Translation,,
TSButtonTextDisplay,Button Text Display,,
TSChildClasses,Child Classes,,
TSComparator,TSComparator,,
TSCompareNamespaces,Compare two Namespaces,,
TSComponentDiffs,Component Differences,,
